cur,url,num,type,id,name
0,/tree_chexing/mb_46/,4,mb,46,万丰
0,/tree_chexing/mb_53/,34,mb,53,一汽
0,/tree_chexing/mb_100/,19,mb,100,英菲尼迪
0,/tree_chexing/mb_258/,2,mb,258,驭胜
0,/tree_chexing/mb_138/,5,mb,138,野马汽车
0,/tree_chexing/mb_41/,11,mb,41,依维柯
0,/tree_chexing/mb_178/,8,mb,178,宇通
0,/tree_chexing/mb_75/,5,mb,75,永源
0,/tree_chexing/mb_238/,2,mb,238,御捷
0,/tree_chexing/mb_245/,1,mb,245,游侠汽车
0,/tree_chexing/mb_194/,1,mb,194,扬州亚星客车
0,/tree_chexing/mb_118/,1,mb,118,云豹
0,/tree_chexing/mb_126/,1,mb,126,云雀
0,/tree_chexing/mb_47/,1,mb,47,仪征
0,/tree_chexing/mb_13/,43,mb,13,现代
0,/tree_chexing/mb_49/,29,mb,49,雪佛兰
0,/tree_chexing/mb_6/,22,mb,6,雪铁龙
0,/tree_chexing/mb_174/,10,mb,174,星客特
0,/tree_chexing/mb_71/,8,mb,71,新凯
0,/tree_chexing/mb_87/,3,mb,87,西雅特
0,/tree_chexing/mb_264/,1,mb,264,小鹏汽车
0,/tree_chexing/mb_65/,2,mb,65,新大地
0,/tree_chexing/mb_62/,2,mb,62,新雅途
0,/tree_chexing/mb_77/,21,mb,77,众泰
0,/tree_chexing/mb_60/,18,mb,60,中华
0,/tree_chexing/mb_233/,3,mb,233,知豆
0,/tree_chexing/mb_33/,12,mb,33,中兴
0,/tree_chexing/mb_167/,7,mb,167,中欧奔驰房车
0,/tree_chexing/mb_214/,2,mb,214,浙江卡尔森
0,/tree_chexing/mb_203/,2,mb,203,之诺
0,/tree_chexing/mb_246/,1,mb,246,重汽王牌
0,/tree_chexing/mb_204/,1,mb,204,中通客车
0,/tree_chexing/mb_64/,4,mb,64,中客华北
0,/tree_chexing/mb_72/,2,mb,72,中顺
